Mol_Weight	AlogP	PSA	HBA	HBD	QED_Weighted	Arom_Rings	Mol_Species	Smiles
171.16	-1.46	117.78	5	3	0.51	1	0	N[C@H](CCc1nnn[nH]1)C(=O)O
193.25	1.24	40.54	2	1	0.78	1	0	CN(C)C(Cc1ccccc1)C(=O)O
155.2	0.77	49.33	2	2	0.62	0	0	CCC1CC=C(CN1)C(=O)O
182.22	0.27	64.35	3	2	0.37	0	1	NC1CC=C(C1)C(=O)NOCC=C
159.19	1.78	41.57	2	1	0.69	2	3	Cc1[nH]cnc1c2ccncc2
178.19	1.43	38.5	4	0	0.61	1	3	Cc1onc(c1)N2OC3CC2C=C3
128.2	1.11	27.09	2	1	0.53	0	3	CN1C=CSCC1=N
167.21	0.42	29.54	3	0	0.53	0	3	COC(=O)C1=CC2CCN(C2)C1
197.15	0.49	107.72	4	3	0.64	1	2	Cc1cc(C(=O)O)c(C(=O)O)c(O)n1
189.2	-0.8	109.33	6	3	0.57	1	2	NC(Cc1nsnc1O)C(=O)O
144.21	2.29	37.3	1	1	0.64	0	2	CCCCC(CC)C(=O)O
181.14	2.22	33.12	2	1	0.68	2	2	Oc1c(F)cc(F)c2cccnc12
186.21	2.19	41.99	2	1	0.74	2	3	CC(=O)Nc1cnc2ccccc2c1
172.19	1.41	44.89	1	2	0.62	2	3	O=C1NCc2c[nH]c3cccc1c23
127.57	1.92	26.02	1	1	0.53	1	3	Nc1cccc(Cl)c1
175.19	1.54	53.09	2	2	0.64	2	3	CC1=CC(=O)Nc2ccc(O)cc12
165.19	0.77	63.32	2	2	0.69	1	0	NCc1cccc(CC(=O)O)c1
188.12	0.65	100.93	4	2	0.5	1	3	[Na+].[NH-]C(=O)c1ccc(\N=N\O)nc1
194.22	0.89	89.34	3	3	0.58	0	0	CC(C)CC(N)P(=O)(O)C(C)N
199.22	1.4	80.48	4	2	0.57	3	3	Cc1ccc2nc3[nH]nc(N)c3nc2c1
167.21	1.46	57.78	2	2	0.72	1	3	CCCC(=O)Nc1cc(C)[nH]n1
145.16	-1.12	58.56	4	2	0.46	0	3	COC(=O)[C@@H]1C[C@@H](O)CN1
192.61	1.37	86.49	4	1	0.63	1	3	Cc1c(C#N)c(N)nc(Cl)c1C#N
170.25	1.95	29.46	2	1	0.65	0	3	OCC1CCC(COC=C)CC1
194.32	3.7	28.68	1	1	0.63	1	3	CCCCCCCCCc1c[nH]cn1
187.24	2.43	29.1	1	1	0.57	1	3	O=C(CCCC#C)Nc1ccccc1
151.21	0.56	40.71	2	2	0.65	1	1	C([C@@H]1CCNC1)c2c[nH]cn2
197.28	1.62	63.32	2	2	0.72	0	0	NC[C@]1(CC(=O)O)CCC2CCCC12
158.02	0.75	63.6	3	1	0.61	0	2	[Li+].CCC(=O)P(=O)([O-])OC
198.31	0.64	73.93	2	4	0.28	0	1	NCCCCCNC(=N)NCC1CC1
155.58	1.91	29.1	1	1	0.65	1	3	Clc1cccc(NC=O)c1
174.21	2.12	51.75	3	0	0.51	1	3	CN(C)\N=N\c1ccc(cc1)C#N
162.25	1.65	26.3	3	1	0.38	0	3	CCCCOC(=O)CCS
177.21	0.55	74.93	3	3	0.63	2	3	NCC(O)c1ccc2[nH]cnc2c1
158.27	0.76	29.26	2	1	0.57	0	3	C[C@H](N)C(=S)N1CCCC1
163.22	1.55	61.9	2	3	0.46	1	1	CC(=N)Nc1ccc(CN)cc1
194.19	0.98	66.76	4	2	0.6	1	3	C[C@H]1OC(=O)c2c(O)cccc2[C@H]1O
183.25	0.83	29.54	3	0	0.56	0	1	C[C@H]1OC2(CCN(C)CC2)CC1=O
192.25	1.08	43.08	5	0	0.59	2	3	Cc1nc2ncnn2c3SCCc13
178.28	1.76	29.26	2	1	0.71	1	1	CN(C)CCCc1ccc(N)cc1
195.29	2.31	20.31	3	0	0.54	1	3	CN(C)\C=C\C(=O)c1sccc1C
144.18	1.94	25.78	2	0	0.56	2	3	Cc1cnc2ccccc2n1
195.69	2.06	12.03	1	1	0.66	1	1	Cl.C1CC(=CCN1)c2ccccc2
193.25	1.71	52.32	3	1	0.74	1	1	CCCOC(=O)c1ccc(CN)cc1
145.16	2.34	26.03	2	0	0.62	2	3	o1cccc1c2cccnc2
191.19	-0.33	87.19	4	1	0.42	0	3	CN1C(=O)\C(=C/N)\C(=C(C#N)C1=O)C
147.99	2.39	12.89	1	0	0.51	1	3	Clc1cccc(Cl)n1
197.23	1.41	55.4	3	1	0.69	0	3	CC(C)(C)OC(=O)NC1CC(=O)C=C1
147.18	1.6	29.96	2	0	0.56	1	3	O=C1CCCc2ncccc12
191.27	2.99	29.1	1	1	0.78	1	3	CCCCc1ccc(NC(=O)C)cc1
148.17	0.74	43.08	4	0	0.55	2	3	Cc1nnc2ccnn2c1C
188.23	2.33	38.06	3	1	0.8	2	3	C(Cc1occc1)Nc2ccccn2
187.22	0.25	55.4	4	1	0.47	0	3	COC(=O)\C=C\1/NC(=O)C(C)S1
164.17	0.29	77.59	3	3	0.6	2	3	OCc1c[nH]c(n1)c2ncc[nH]2
147.22	1.75	26.02	1	1	0.68	1	1	NCC1CC1c2ccccc2
198.22	1.98	55.98	2	1	0.8	2	3	NC(=O)c1cccc2cc(C=C)cnc12
179.18	0.33	60.16	2	1	0.64	1	3	[Na+].[NH-]S(=O)(=O)c1ccccc1
185.24	0.35	77.58	7	2	0.46	2	2	Nc1nc(S)nc2nnsc12
197.24	1.02	55.74	6	0	0.64	2	3	O=C1SSC(=N1)c2cnccn2
173.26	1.86	12.03	1	1	0.63	1	1	C1CC2(CCc3ccccc23)CN1
149.22	-0.19	52.32	4	2	0.43	0	3	CCOC(=O)[C@@H](N)CS
149.16	0.24	80.48	4	2	0.56	2	3	Cc1nc(N)c2[nH]cnc2n1
198.29	0.27	32.34	3	1	0.61	0	1	O=C1CSC2(CN3CCC2CC3)N1
195.25	1.05	80.48	5	2	0.7	2	3	CCSc1nc2c(N)ncnc2[nH]1
165.62	0.04	48.19	3	1	0.23	0	1	Cl.C\N=C(\C=N\O)/N(C)C
175.25	0.64	63.32	3	3	0.54	0	0	NC(C(=O)O)C1(S)CCCC1
144.18	2.08	28.68	1	1	0.65	2	3	c1ccc(cc1)c2cc[nH]n2
190.25	2.5	71.76	2	4	0.43	1	1	CC(=N)Nc1cccc(NC(=N)C)c1
158.27	1.48	24.39	3	1	0.63	0	3	CCCCNC1=NCCS1
197.03	2.33	28.68	1	1	0.69	2	3	Brc1cccc2[nH]ncc12
194.3	1.73	24.39	1	2	0.43	1	0	CN=C(S)NCCc1ccccc1
169.22	0.99	49.33	2	2	0.62	0	0	OC(=O)C1NCC12CCCCC2
187.24	0.43	30.93	4	0	0.6	0	1	COC1OCC2(CCN(C)CC2)O1
137.14	1.09	50.19	2	1	0.63	1	2	Cc1cncc(c1)C(=O)O
198.22	1.37	66.88	2	1	0.69	1	3	NC(=O)\C=C\1/CCc2ccc(cc12)C#N
153.22	1.83	29.1	1	1	0.62	0	3	O=CN\C=C\C1CCCCC1
178.24	0.95	36.36	3	1	0.7	1	3	CN1CCC[C@@]1(O)c2cccnc2
193.25	1.65	38.13	3	0	0.63	1	3	Cc1cnn(c1)C(=O)N2CCCCC2
184.2	1.71	42.85	3	0	0.67	2	3	O=C(c1cccnc1)c2cccnc2
190.25	0.63	53.65	2	2	0.5	1	1	Cc1ccc(cc1)N2CCN/C/2=N\N
165.24	2.4	32.86	1	1	0.67	1	3	CCc1[nH]c(C)c(C(=O)C)c1C
192.19	2.11	46.01	3	1	0.75	2	2	Cc1ccc2nc(CF)nc(O)c2c1
168.15	0.27	61.31	5	0	0.59	1	3	COC(=O)c1cnc(OC)cn1
184.28	1.3	58.61	3	2	0.65	0	3	CCCCC[C@@H]1N=C(N)[C@@H](O)[C@@H]1C
138.17	0.02	104.08	4	4	0.38	1	3	Nc1cc(N)c(N)cc1N
181.28	3.45	26.03	2	0	0.71	1	3	CCCCc1nc(C)oc1C(C)C
113.16	1.21	21.59	2	0	0.46	0	3	CC1OC(C)C(=N1)C
190.25	1.38	33.62	3	1	0.78	1	1	Cc1ccccc1OCC2=NCCN2
190.21	1	52.31	5	0	0.68	2	3	Cc1nnc2ccc(OCC=C)nn12
184.62	-1.63	98.57	4	3	0.41	0	0	Cl.NCCOCC(N)C(=O)O
197.19	-0.2	89.79	4	4	0.4	1	3	ONC(=O)[C@@H](O)Cc1ccc(O)cc1
199.64	1.46	52.82	3	2	0.72	1	1	OCC\N=C\c1cc(Cl)ccc1O
169.21	0.65	45.03	4	0	0.53	0	3	CC1=NN2CCC(=O)N=C2S1
199.25	2.57	46.25	2	2	0.58	2	3	Nc1cc(Cc2ccccc2)ccc1O
155.2	0.26	29.54	3	0	0.51	0	1	COC(=O)C12CCN(CC1)C2
160.17	-0.11	42.01	3	0	0.57	0	3	COCN1COCN(C)C1=O
194.23	0.19	50.69	4	1	0.5	0	1	CCC#CCOC(=O)C1CNC=NC1
188.05	-0.52	87.13	3	2	0.43	0	2	[Na+].CC1OC1C(=O)P(=O)(O)[O-]
192.29	3.06	28.68	2	1	0.74	2	3	CC(C)Sc1nc2ccccc2[nH]1
191.23	1.04	52.32	3	1	0.71	1	1	NC[C@@H]1C[C@H](C(=O)O1)c2ccccc2
143.1	-0.13	83.56	4	2	0.6	1	2	OCc1onc(c1)C(=O)O
166.2	0.31	41.4	3	1	0.23	1	3	C[n+]1cn(CC=C)cc1\C=N\O
164.21	0.7	60.21	4	2	0.41	0	3	CC1=CC(C)(C)NC(=N1)NC#N
179.24	-1.86	86.71	5	4	0.38	0	1	CS[C@@H]1[C@@H](N)[C@@H](O)[C@@H](O)[C@H]1O
151.64	-0.17	20.23	1	1	0.4	0	3	[Cl-].CC[N+]1(CCO)CC1
176.26	2.16	16.13	2	0	0.65	1	3	CN1CCCC1c2ccc(C)nc2
174.16	0.63	64.7	5	0	0.59	2	3	C1Cc2nnccc2c3nonc13
199.24	1.58	64.11	5	1	0.75	1	3	Cc1nnsc1NC(=O)OCC=C
280.33	2.42	79.96	6	2	0.77	3	3	CN(C)c1ccccc1Nc2ncnc3cc(N)ncc23
275.35	2.07	43.43	5	0	0.86	2	3	COCC1N(Cc2oc(C)cc2)CCc3cnn(C)c13
299.78	2.39	57.61	3	2	0.84	1	2	OC(=O)C1CCc2cc(Cl)ccc2N1C(=O)CCS
274.06	0.95	43.6	4	0	0.6	1	3	IC#CCn1nnc(n1)C2CC2
268.36	1.8	35.2	4	0	0.83	2	3	CN1CCN(Cc2c(C#N)c3ccccc3n2C)CC1
240.26	3.03	49.69	3	2	0.81	2	3	Oc1ccc(cc1)C2=Cc3ccc(O)cc3OC2
287.41	1.25	53.16	3	3	0.74	1	1	O=C(CN[C@H]1C[C@@H]1c2ccccc2)NCC3CCNCC3
295.31	3.66	52.32	2	1	0.8	3	3	NC(=O)c1cc(OCc2ccc(F)cc2)c3ccccc3c1
275.31	1.56	103.62	6	3	0.78	2	1	COc1cc(Cc2cnc(N)cc2N)cc(OC)c1O
297.34	-0.04	122.21	8	4	0.59	2	3	NC1=Nc2c(ncn2[C@H]3C[C@H](CO)[C@@H](CO)O3)C(=S)N1
274.41	3.6	19.62	3	0	0.69	2	1	CN(C)CCCCCN(C)Cc1oc2ccccc2c1
241.31	1.68	83.55	4	3	0.52	1	0	NC(CCCSc1ccccc1O)C(=O)O
204.27	2.24	51.04	2	2	0.81	2	1	COc1ccc2[nH]cc(C(C)CN)c2c1
255.66	1.9	77.62	4	0	0.47	1	3	[O-][N+](=O)\N=C\1/OCCC1Cc2ccc(Cl)nc2
293.19	3.85	24.39	3	1	0.85	2	1	Brc1c(sc2ccccc12)C3NC=NC=C3
297.29	3.56	59.31	3	1	0.79	3	3	CC(=O)Nc1ccc2OC(=CC(=O)c2c1)c3ccccc3F
299.33	1.74	80.32	4	2	0.82	2	3	CCOc1ccc(NC(=O)C(=O)NCc2ccncc2)cc1
242.3	1.76	89.31	5	2	0.48	1	3	CCc1oc(cc1CSC(=N)N)C(=O)OC
239.7	0.1	63.6	3	1	0.51	0	2	[Cl-].CC(=O)OC(CC(=O)O)C[N+](C)(C)C
222.29	-0.53	64.52	4	4	0.55	1	1	OC1CNC(CNCc2ccccc2)C1O
263.26	0.73	113.02	6	3	0.75	2	2	CCc1cc(OC)c(O)c(c1)C(=O)Nc2nn[nH]n2
223.24	1.49	48.53	5	0	0.45	3	3	C1c2cncn2c3ccccc3c4ncnn14
287.34	3.45	56.27	6	1	0.8	3	3	COc1ccc(Nc2ncnc3sccc23)cc1OC
240.33	1.53	50.63	4	1	0.35	1	3	CCC(C)C(C)OC[n+]1ccn(C)c1\C=N\O
294.2	3.03	63.32	3	2	0.79	1	0	NC(CCSCc1ccc(Cl)c(Cl)c1)C(=O)O
254.24	1.66	74.6	4	2	0.69	2	3	OCc1ccc2C(=O)c3ccccc3C(=O)c2c1O
276.41	2.82	40.85	3	1	0.39	1	0	CC1CCN(CC1)\C(=N\N=C(/C)\c2ccccn2)\S
220.23	0.84	84.38	4	2	0.58	2	3	Cn1c(CN(O)C(=O)N)nc2ccccc12
271.71	3.76	51.81	4	0	0.71	3	3	Cc1ccc(c(Cl)c1)c2onc(n2)c3ccncc3
266.32	0.97	60.66	6	0	0.59	1	3	COC(=O)C1=CC(=O)N(CC=C)\C(=N\CC=C)\S1
271.32	2.2	64.34	6	1	0.79	3	3	CCc1nc(C)c2c(NC)nc3ccc(OC)nc3n12
248.33	1.31	52.57	3	2	0.83	1	3	CC(C)[C@@H]1N(C)c2ccccc2[C@@H](CO)NC1=O
264.45	4.64	20.23	1	1	0.73	0	3	CC1(C)CCC[C@]2(C)[C@@H](CCCCO)[C@H]3CC[C@@H]2[C@@H]13
282.3	3.44	67.51	3	1	0.73	3	2	C[C@@H](C(=O)O)c1cccc2C(=O)c3cccc(C)c3Oc12
278.4	2.58	51.1	3	1	0.87	1	3	CC(C)CC(CC(C)C)NC(=O)C1=CC(=O)N(C)C=C1
244.68	3.38	38.05	3	1	0.71	3	2	Oc1nc2cc(Cl)ccc2n1c3ccccc3
264.41	3.66	34.03	3	1	0.82	1	3	CC(C)CCNC1=CC(=O)N(CCC(C)C)C(=C1)C
217.31	2.74	20.31	2	0	0.73	1	1	CN1CCCCC1CC(=O)c2ccccc2
247.12	3.55	36.36	3	1	0.65	1	2	CC(N(O)c1ncc(Cl)cc1Cl)C(=C)C
275.35	2.66	64.93	4	2	0.81	1	2	CCCN1CCC(=NNc2ccc(cc2)C(=O)O)CC1
219.18	2.97	26.02	1	1	0.76	1	3	NC\C(=C\F)\c1cccc(c1)C(F)(F)F
226.23	1.06	79.15	5	3	0.62	1	3	COc1cc2[C@H](O)[C@@H](C)OCc2c(O)c1O
238.43	1.03	6.48	2	2	0.48	0	2	SC(=S)N1CCN(CC1)C(=S)S
299.12	1.39	70.99	5	1	0.81	2	2	Clc1ccc(cc1Cl)N2CCN3C(=O)C(=O)NN=C23
231.25	2.5	62.46	3	2	0.83	2	2	Cc1ccc(C)n1c2ccc(O)c(c2)C(=O)O
261.71	3.45	33.45	2	0	0.83	2	3	Clc1ccccc1c2oc(cc2)C(=O)N3CCC3
204.23	1.82	43.6	4	0	0.7	2	3	CCOC(=O)c1cn2ccc(C)cc2n1
258.28	2.4	71.45	4	2	0.86	2	2	COc1cccc(CNc2ccc(nc2)C(=O)O)c1
289.38	1.85	75.35	6	1	0.86	1	3	Nc1nc(N2CCCCC2)c(C=O)c(n1)N3CCCCC3
253.34	3.64	22.12	2	0	0.83	2	3	CCOC1CCc2cc(ccc2C1)c3cccnc3
256.42	3.5	17.3	5	0	0.78	2	3	CSc1c(SC)c2cnccn2c1SC
244.29	2.67	44.12	4	0	0.78	2	3	CCOC(=O)c1cncn1C(C)c2ccccc2
261.34	3.76	35.25	2	1	0.82	1	3	Nc1ccc(OC23CC4CC(CC(C4)C2)C3)cc1F
252.32	3.53	26.53	3	0	0.71	3	3	Cc1nc2c(OCc3ccccc3)cccn2c1C
269.37	3.99	33.12	3	1	0.76	3	3	Cc1ccc(C(O)c2nc3ccccc3s2)c(C)c1
264.09	1.74	55.97	5	0	0.62	3	3	Cc1nc2cc(Br)ccc2n3nnnc13
237.22	-0.3	121.52	4	4	0.25	1	2	NNC(=O)CC(=O)Nc1ccccc1C(=O)O
271.71	3.06	55.63	5	1	0.8	3	3	Clc1ccccc1Nc2ncnc(n2)n3cccc3
219.24	-3.12	104.39	6	5	0.32	0	3	C[C@@H]1[C@@H](O)[C@H](O)[C@@H]2[C@H](O)[C@H](O)[C@@H](CO)N12
276.34	2.78	33.95	4	0	0.72	3	3	C(N1Cc2ccccc2n3nncc3C1)c4ccccc4
285.37	3.78	38.25	5	0	0.73	3	3	COc1ccc(cc1)N(C)c2ncnc3c(C)csc23
273.34	1.47	71.84	4	2	0.87	2	3	CC(Cn1cccn1)NC(=O)NCc2ccc(C)nc2
273.52	3.28	38.92	3	0	0.79	2	3	Clc1ccc(cc1)c2noc(CBr)n2
